341.05	-36.67
341.43	-36.67
341.82	-36.67
342.20	-66.32
342.58	-52.27
342.96	-51.49
343.34	-28.87
343.73	-33.55
344.11	-42.13
344.49	-9.36
344.87	-12.48
345.25	-71.78
345.64	-31.99
346.02	-97.52
346.40	-51.49
346.78	11.70
347.16	17.16
347.55	-17.94
347.93	-74.90
348.31	-71.00
348.69	0.78
349.07	-23.41
349.45	2.34
349.83	-44.47
350.22	-50.71
350.60	-59.29
350.98	29.65
351.36	-42.13
351.74	-4.68
352.12	-34.33
352.50	-18.72
352.88	22.63
353.27	-8.58
353.65	-62.41
354.03	-36.67
354.41	-110.01
354.79	-57.73
355.17	10.92
355.55	25.75
355.93	-41.35
356.31	8.58
356.69	-22.63
357.08	-45.25
357.46	-20.28
357.84	-1.56
358.22	-24.97
358.60	-38.23
358.98	-13.26
359.36	-25.75
359.74	-33.55
360.12	-6.24
360.50	-59.29
360.88	-18.72
361.26	-42.91
361.64	-14.82
362.02	9.36
362.40	-1.56
362.78	14.04
363.16	-62.41
363.54	-42.91
363.92	-26.53
364.30	0.78
364.68	-56.95
365.06	-20.28
365.44	-28.87
365.82	-33.55
366.20	-44.47
366.58	-53.05
366.96	-61.63
367.34	-44.47
367.72	-5.46
368.10	18.72
368.48	16.38
368.86	0.78
369.24	-36.67
369.62	-14.82
370.00	-2.34
370.38	-98.30
370.75	-8.58
371.13	58.51
371.51	-54.61
371.89	10.14
372.27	-49.93
372.65	-8.58
373.03	-7.80
373.41	-20.28
373.79	-17.16
374.17	6.24
374.55	-36.67
374.92	-47.59
375.30	-53.05
375.68	-26.53
376.06	14.82
376.44	2.34
376.82	26.53
377.20	-35.89
377.58	-74.12
377.95	0.00
378.33	-4.68
378.71	-5.46
379.09	7.80
379.47	17.16
379.85	-62.41
380.22	-10.92
380.60	-22.63
380.98	22.63
381.36	-60.07
381.74	28.09
382.11	-7.02
382.49	-23.41
382.87	-33.55
383.25	-72.56
383.63	-46.81
384.00	-33.55
384.38	-15.60
384.76	-25.75
385.14	34.33
385.52	-10.14
385.89	-56.17
386.27	-3.12
386.65	-56.17
387.03	10.92
387.40	-56.17
387.78	-51.49
388.16	-7.02
388.54	-18.72
388.91	47.59
389.29	-35.11
389.67	-7.02
390.05	-0.78
390.42	-7.80
390.80	21.06
391.18	8.58
391.55	-82.70
391.93	-26.53
392.31	-46.81
392.68	-58.51
393.06	-11.70
393.44	13.26
393.82	-46.03
394.19	19.50
394.57	35.89
394.95	-44.47
395.32	17.16
395.70	12.48
396.08	23.41
396.45	24.19
396.83	1.56
397.21	-46.03
397.58	-40.57
397.96	-25.75
398.33	4.68
398.71	8.58
399.09	3.12
399.46	1.56
399.84	7.80
400.22	-8.58
400.59	63.19
400.97	-27.31
401.34	33.55
401.72	-36.67
402.10	15.60
402.47	-17.16
402.85	-39.79
403.22	-43.69
403.60	-16.38
403.97	39.01
404.35	11.70
404.73	0.78
405.10	-1.56
405.48	-85.04
405.85	-22.63
406.23	11.70
406.60	25.75
406.98	-3.90
407.35	3.90
407.73	-6.24
408.11	-35.11
408.48	56.95
408.86	46.03
409.23	7.02
409.61	6.24
409.98	-62.41
410.36	13.26
410.73	-0.78
411.11	-29.65
411.48	23.41
411.86	25.75
412.23	13.26
412.61	-2.34
412.98	17.16
413.35	-34.33
413.73	-20.28
414.10	-26.53
414.48	-10.14
414.85	-10.92
415.23	53.05
415.60	7.80
415.98	-17.94
416.35	31.21
416.73	-42.13
417.10	-5.46
417.47	26.53
417.85	-3.90
418.22	-10.14
418.60	-43.69
418.97	22.63
419.34	35.89
419.72	21.06
420.09	21.84
420.47	11.70
420.84	49.15
421.21	3.90
421.59	22.63
421.96	5.46
422.34	-21.84
422.71	-28.87
423.08	42.13
423.46	48.37
423.83	21.06
424.20	42.91
424.58	28.09
424.95	21.84
425.32	10.92
425.70	59.29
426.07	31.99
426.44	60.85
426.82	49.93
427.19	34.33
427.56	49.15
427.94	24.19
428.31	39.79
428.68	7.02
429.05	-4.68
429.43	8.58
429.80	32.77
430.17	-21.85
430.55	24.19
430.92	40.57
431.29	86.60
431.66	17.16
432.04	20.28
432.41	28.87
432.78	54.61
433.15	-13.26
433.53	-17.94
433.90	54.61
434.27	38.23
434.64	51.49
435.02	14.04
435.39	47.59
435.76	31.99
436.13	53.83
436.51	46.03
436.88	10.92
437.25	49.15
437.62	59.29
437.99	8.58
438.37	-1.56
438.74	15.60
439.11	-31.21
439.48	42.91
439.85	21.06
440.22	6.24
440.60	24.97
440.97	51.49
441.34	14.82
441.71	42.13
442.08	10.92
442.45	7.80
442.83	33.55
443.20	-15.60
443.57	99.86
443.94	67.88
444.31	53.83
444.68	62.41
445.05	81.92
445.42	49.93
445.79	69.44
446.17	71.00
446.54	49.15
446.91	60.85
447.28	41.35
447.65	81.92
448.02	78.80
448.39	56.17
448.76	13.26
449.13	36.67
449.50	27.31
